year,date,count,covid-period
2019,1/6/19,82340,N,82340
2019,1/13/19,62315,N,62315
2019,1/20/19,75801,N,75801
2019,1/27/19,75841,N,75841
2019,2/3/19,79780,N,79780
2019,2/10/19,65732,N,65732
2019,2/17/19,69492,N,69492
2019,2/24/19,85688,N,85688
2019,3/3/19,84512,N,84512
2019,3/10/19,107995,N,107995
2019,3/17/19,125440,Y,125440
2019,3/24/19,136330,Y,136330
2019,3/31/19,118784,Y,118784
2019,4/7/19,132033,Y,132033
2019,4/14/19,133267,Y,133267
2019,4/21/19,165777,Y,165777
2019,4/28/19,166356,Y,166356
2019,5/5/19,171049,Y,171049
2019,5/12/19,178534,Y,178534
2019,5/19/19,191319,Y,191319
2019,5/26/19,240507,Y,240507
2019,6/2/19,211380,Y,211380
2019,6/9/19,214729,Y,214729
2019,6/16/19,202847,Y,202847
2019,6/23/19,202445,Y,202445
2019,6/30/19,184658,Y,184658
2019,7/7/19,185302,Y,185302
2019,7/14/19,166125,Y,166125
2019,7/21/19,208809,Y,208809
2019,7/28/19,197005,Y,197005
2019,8/4/19,180605,Y,180605
2019,8/11/19,191450,Y,191450
2019,8/18/19,168754,Y,168754
2019,8/25/19,176624,Y,176624
2019,9/1/19,184806,Y,184806
2019,9/8/19,157345,Y,157345
2019,9/15/19,152527,Y,152527
2019,9/22/19,141072,Y,141072
2019,9/29/19,135881,Y,135881
2019,10/6/19,132239,Y,132239
2019,10/13/19,110816,Y,110816
2019,10/20/19,110761,Y,110761
2019,10/27/19,109795,Y,109795
2019,11/3/19,109766,Y,109766
2019,11/10/19,86824,Y,86824
2019,11/17/19,88122,Y,88122
2019,11/24/19,72380,Y,72380
2019,12/1/19,81871,Y,81871
2019,12/8/19,68364,Y,68364
2020,1/5/20,97140,N,97140
2020,1/12/20,75782,N,75782
2020,1/19/20,83809,N,83809
2020,1/26/20,94738,N,94738
2020,2/2/20,153555,N,153555
2020,2/9/20,130351,N,130351
2020,2/16/20,149876,N,149876
2020,2/23/20,141250,N,141250
2020,3/1/20,167528,N,167528
2020,3/8/20,210182,N,210182
2020,3/15/20,367795,Y,367795
2020,3/22/20,372783,Y,372783
2020,3/29/20,280728,Y,280728
2020,4/5/20,419160,Y,419160
2020,4/12/20,241810,Y,241810
2020,4/19/20,231184,Y,231184
2020,4/26/20,276982,Y,276982
2020,5/3/20,244058,Y,244058
2020,5/10/20,281348,Y,281348
2020,5/17/20,255226,Y,255226
2020,5/24/20,299567,Y,299567
2020,5/31/20,278800,Y,278800
2020,6/7/20,296335,Y,296335
2020,6/14/20,255112,Y,255112
2020,6/21/20,256615,Y,256615
2020,6/28/20,236287,Y,236287
2020,7/5/20,244342,Y,244342
2020,7/12/20,250590,Y,250590
2020,7/19/20,223757,Y,223757
2020,7/26/20,238673,Y,238673
2020,8/2/20,239827,Y,239827
2020,8/9/20,219279,Y,219279
2020,8/16/20,241007,Y,241007
2020,8/23/20,273677,Y,273677
2020,8/30/20,227918,Y,227918
2020,9/6/20,207670,Y,207670
2020,9/13/20,207320,Y,207320
2020,9/20/20,207918,Y,207918
2020,9/27/20,186004,Y,186004
2020,10/4/20,182924,Y,182924
2020,10/11/20,159246,Y,159246
2020,10/18/20,141404,Y,141404
2020,10/25/20,147907,Y,147907
2020,11/1/20,154502,Y,154502
2020,11/8/20,155805,Y,155805
2020,11/15/20,97835,Y,97835
2020,11/22/20,101036,Y,101036
2020,11/29/20,84123,Y,84123
2020,12/6/20,92126,Y,92126
